id_number,Finished,Progress,Duration,Year,Month,Day,adults,children,postcode,exp_house_inc_2021,work_mood_2019,work_mood_2020,avg_work_hour_2019,avg_work_hour_2020,TDW_2019,EM_2019,EE_2019,LT_2019,ON_2019,TDW_2020,EM_2020,EE_2020,LT_2020,ON_2020,work_stability_2019,work_stability_2020,comfortable_2019,lonely_2019,active_2019,connected_2019,peaceful_2019,chaotic_2019,comfortable_2020,lonely_2020,active_2020,connected_2020,peaceful_2020,chaotic_2020,mental_cond_2019,mental_cond_2020,age_group,new_house_inc_2019,new_house_inc_2020
1,1,100,1588.3877780382884,2021,1,30,3,1,3186,118999.40869185752,2,2,6,5,1,0,1,0,1,1,0,0,1,0,1,4,0,0,1,1,0,0,0,0,0,1,0,1,3,1,"(35.2,48.4]",172966.93863830058,98371.4675790585
2,1,100,1117.5621269611315,2021,1,22,2,4,3049,100405.64413811703,6,1,6,1,0,1,1,0,0,NA,NA,NA,NA,NA,4,NA,0,0,1,0,0,0,1,0,0,0,0,1,3,2,"(61.6,74.8]",128972.31321122304,106461.01620271293
3,1,100,372.0478855377249,2021,1,12,1,-0,3201,97700.49157153358,3,6,4,4,1,0,0,0,0,0,0,0,1,0,4,1,1,1,1,1,0,0,1,0,0,0,1,0,2,3,"(48.4,61.6]",127469.73274956174,74921.0867140656
4,1,100,100.59128122394213,2021,1,10,3,2,3068,292357.51671771705,2,2,6,4,0,0,0,1,0,0,0,0,1,0,1,2,1,0,1,0,0,1,1,0,1,1,0,0,1,1,"(48.4,61.6]",268177.2671788954,0
5,1,100,874.8888788252666,2021,1,9,3,0,3119,195586.27637319642,4,2,3,6,0,0,1,0,0,0,0,0,1,0,1,4,0,0,1,0,1,1,1,0,0,0,0,0,2,3,"(35.2,48.4]",88954.14144751136,235323.83503761145
6,1,100,4367.4937549695305,2021,1,4,1,2,3139,130480.91563250299,2,1,6,1,1,1,0,0,0,NA,NA,NA,NA,NA,1,NA,0,0,0,0,1,0,1,1,0,0,1,0,2,1,"(61.6,74.8]",91836.42183729587,181248.5523622589
7,1,100,878.4512806387731,2021,1,2,4,0,3159,86590.44834460232,2,6,1,6,1,0,0,0,0,0,0,1,1,0,1,4,1,0,0,1,0,0,0,0,0,1,0,0,3,3,"(48.4,61.6]",151270.45891538035,68094.52093150187
8,1,100,334.87789254434233,2021,1,6,3,1,3140,112780.8382277608,2,6,6,6,0,0,0,0,0,1,0,0,0,0,3,4,0,1,1,0,0,0,1,0,0,0,0,0,2,1,"(35.2,48.4]",61098.84059627386,0
9,1,100,687.8456940270661,2021,1,27,3,2,3106,93689.03938652393,6,5,6,5,1,0,1,0,0,1,0,0,1,0,4,2,0,0,1,0,1,0,0,0,1,1,1,1,2,3,"(48.4,61.6]",67804.17734629077,0
10,1,100,283.57735590852343,2021,1,24,3,2,3055,176675.53334815562,2,3,6,5,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,2,2,"(48.4,61.6]",55208.206654212256,164847.18535276764
11,1,100,1793.7803881305417,2021,1,31,1,-0,3048,136091.13589201556,2,1,6,1,1,0,0,1,0,NA,NA,NA,NA,NA,1,NA,0,0,1,0,0,0,0,0,0,1,0,0,2,1,"(48.4,61.6]",93542.66728101921,0
12,1,100,2076.0147495204465,2021,1,10,3,-0,3044,58403.05885504998,2,6,6,6,1,0,0,0,0,0,0,0,1,0,1,4,1,0,1,0,0,1,0,0,0,0,0,0,1,3,"(48.4,61.6]",85237.20974881153,0
